Player/Team,Type,GRD,PTS,REB,AST,STL,BLK,FOULS,TO,FGM,FGA,3PM,3PA,FTM,FTA,Game_ID,Team Name,Win,Season,OREB,DREB,MIN,Q1,Q2,Q3,Q4 
Brodie1thru5,Player,A,10,14,10,2,0,1,2,5,7,0,1,0,0,308,New Vision,1,3,,,,,,,
TOTAL,Team,B+,78,20,22,6,0,7,4,30,49,17,29,1,1,308,New Vision,1,3,,,,,,,
LogoLarry,Player,A+,22,0,13,2,0,2,2,8,13,6,8,0,0,309,Deadeye Gaming,1,3,,,,,,,
Im Vxnom,Player,A,18,0,5,3,0,1,0,8,12,2,5,0,0,309,Deadeye Gaming,1,3,,,,,,,
iM xSnypE,Player,B-,9,1,1,1,0,5,0,4,6,1,3,0,0,309,Deadeye Gaming,1,3,,,,,,,
xsluggz,Player,B-,2,2,4,2,0,1,0,1,2,0,0,0,0,309,Deadeye Gaming,1,3,,,,,,,
Boardman lBl,Player,A-,37,6,2,5,0,3,1,16,19,5,8,0,0,309,Deadeye Gaming,1,3,,,,,,,
TOTAL,Team,B+,88,9,25,13,0,10,3,37,52,14,24,0,0,309,Deadeye Gaming,1,3,,,,,,,
IDeuce F6,Player,A+,37,0,14,1,0,0,4,8,10,8,10,13,13,309,Full Court Pressure,0,3,,,,,,,
Premium Griz,Player,B,19,0,0,0,0,0,5,7,7,5,5,0,0,309,Full Court Pressure,0,3,,,,,,,
HeEverywhere,Player,C+,9,0,0,0,0,4,0,3,4,3,3,0,0,309,Full Court Pressure,0,3,,,,,,,
Loter F6,Player,D+,2,3,1,0,0,1,3,1,2,0,1,0,0,309,Full Court Pressure,0,3,,,,,,,
Conquerrs,Player,A-,16,6,2,0,0,0,1,7,8,1,1,1,1,309,Full Court Pressure,0,3,,,,,,,
TOTAL,Team,B,83,9,17,1,0,5,14,26,31,17,20,14,14,309,Full Court Pressure,0,3,,,,,,,
Im Vxnom,Player,B-,32,0,12,1,0,2,8,11,19,9,15,1,2,310,Deadeye Gaming,0,3,,,,,,,
LogoLarry,Player,B-,11,2,1,0,0,2,1,4,5,1,2,2,2,310,Deadeye Gaming,0,3,,,,,,,
iM xSnypE,Player,C+,10,1,0,0,1,5,1,4,6,2,4,0,0,310,Deadeye Gaming,0,3,,,,,,,
xsluggz,Player,C+,0,5,0,0,0,0,0,0,0,0,0,0,0,310,Deadeye Gaming,0,3,,,,,,,
Boardman lBl,Player,A,24,9,7,0,0,1,1,10,11,2,2,2,2,310,Deadeye Gaming,0,3,,,,,,,
TOTAL,Team,B-,77,17,20,1,1,10,11,29,41,14,23,5,6,310,Deadeye Gaming,0,3,,,,,,,
IDeuce F6,Player,A,33,0,8,1,0,0,1,13,19,7,11,0,0,310,Full Court Pressure,1,3,,,,,,,
Premium Griz,Player,A-,15,0,5,1,0,3,0,6,7,3,4,0,0,310,Full Court Pressure,1,3,,,,,,,
HeEverywhere,Player,B+,12,0,1,6,0,3,0,5,9,2,5,0,0,310,Full Court Pressure,1,3,,,,,,,
Loter F6,Player,B-,10,1,0,1,1,2,0,4,9,2,4,0,0,310,Full Court Pressure,1,3,,,,,,,
Conquerrs,Player,A-,13,8,3,2,0,2,0,5,6,0,0,3,4,310,Full Court Pressure,1,3,,,,,,,
TOTAL,Team,A-,83,9,17,11,1,10,1,33,50,14,24,3,4,310,Full Court Pressure,1,3,,,,,,,
oJaydvn,Player,A+,30,0,11,1,0,1,0,10,14,8,11,2,2,311,New Vision,0,3,,,,,,,
llUzii,Player,B-,9,0,1,0,0,0,1,3,6,1,3,2,2,311,New Vision,0,3,,,,,,,
Brodie1thru5,Player,B-,8,2,0,4,0,5,0,4,7,0,1,0,0,311,New Vision,0,3,,,,,,,
CaliPark,Player,C+,3,1,2,1,0,3,1,1,4,1,4,0,0,311,New Vision,0,3,,,,,,,
FrmAZ,Player,B+,19,3,1,0,0,3,1,8,10,0,1,3,4,311,New Vision,0,3,,,,,,,
TOTAL,Team,B,69,6,15,6,0,12,3,26,41,10,20,7,8,311,New Vision,0,3,,,,,,,
ThaGap,Player,A+,36,0,12,1,0,0,4,12,15,8,9,4,4,311,No Morals,1,3,,,,,,,
bufird,Player,B+,12,2,3,0,0,2,0,4,5,4,5,0,0,311,No Morals,1,3,,,,,,,
K-O-B-E-2-K-🧊,Player,B,13,2,1,1,0,5,0,6,6,1,1,0,0,311,No Morals,1,3,,,,,,,
othello,Player,C+,12,1,0,0,0,2,1,4,5,3,4,1,2,311,No Morals,1,3,,,,,,,
iDontSwing,Player,C+,12,12,3,1,0,1,1,6,10,0,2,0,0,311,No Morals,1,3,,,,,,,
TOTAL,Team,B,85,17,19,3,0,10,7,32,41,16,21,5,6,311,No Morals,1,3,,,,,,,
llUzii,Player,B,20,0,6,0,0,2,6,7,13,4,9,2,2,312,New Vision,0,3,,,,,,,
oJaydvn,Player,B+,9,0,1,0,0,1,0,4,10,1,5,0,0,312,New Vision,0,3,,,,,,,
CaliPark,Player,C-,5,0,0,0,0,4,1,2,3,1,2,0,0,312,New Vision,0,3,,,,,,,
FrmAZ,Player,C,4,2,0,0,0,2,0,1,3,1,2,1,2,312,New Vision,0,3,,,,,,,
Brodie1thru5,Player,A-,11,12,4,0,0,0,2,5,7,1,2,0,0,312,New Vision,0,3,,,,,,,
TOTAL,Team,B-,49,14,11,0,0,9,9,19,36,8,20,3,4,312,New Vision,0,3,,,,,,,
ThaGap,Player,A+,41,1,9,1,0,2,1,13,17,13,16,2,2,312,No Morals,1,3,,,,,,,
bufird,Player,B+,7,0,2,1,0,1,0,3,9,1,6,0,0,312,No Morals,1,3,,,,,,,
K-O-B-E-2-K-🧊,Player,A-,16,0,2,1,0,0,0,6,8,4,6,0,0,312,No Morals,1,3,,,,,,,
othello,Player,B,8,1,3,4,0,2,0,3,3,2,2,0,0,312,No Morals,1,3,,,,,,,
iDontSwing,Player,A,13,13,2,1,0,0,0,6,6,1,1,0,0,312,No Morals,1,3,,,,,,,
TOTAL,Team,A-,85,15,18,8,0,5,1,31,43,21,31,2,2,312,No Morals,1,3,,,,,,,
LogoLarry,Player,A,42,1,7,0,0,1,3,15,17,11,12,1,1,313,Deadeye Gaming,1,3,,,,,,,
Im Vxnom,Player,B+,13,0,4,5,0,3,0,5,10,3,7,0,0,313,Deadeye Gaming,1,3,,,,,,,
iM xSnypE,Player,A-,18,5,3,2,0,3,0,7,8,4,4,0,0,313,Deadeye Gaming,1,3,,,,,,,
xsluggz,Player,C+,0,2,1,0,0,0,2,0,3,0,2,0,0,313,Deadeye Gaming,1,3,,,,,,,
Boardman lBl,Player,B+,15,4,1,2,0,0,1,7,9,0,1,1,1,313,Deadeye Gaming,1,3,,,,,,,
TOTAL,Team,B+,88,12,16,9,0,7,6,34,47,18,26,2,2,313,Deadeye Gaming,1,3,,,,,,,
Trifecta,Player,A,26,0,11,0,0,2,3,8,13,7,11,3,3,313,Krashout,0,3,,,,,,,
IIVeno,Player,A-,19,0,3,0,0,1,2,7,11,5,8,0,0,313,Krashout,0,3,,,,,,,
Glohawn,Player,B,17,0,0,3,0,1,0,6,6,5,5,0,0,313,Krashout,0,3,,,,,,,
Fr Fella,Player,B-,6,1,2,2,1,2,1,2,2,2,2,0,0,313,Krashout,0,3,,,,,,,
II WHEEL II,Player,A-,15,7,7,0,1,0,3,6,7,1,1,2,3,313,Krashout,0,3,,,,,,,
TOTAL,Team,B+,83,8,23,5,2,6,9,29,39,20,27,5,6,313,Krashout,0,3,,,,,,,
LogoLarry,Player,A-,37,0,8,0,0,0,6,12,15,7,10,6,6,314,Deadeye Gaming,0,3,,,,,,,
Im Vxnom,Player,B+,11,1,6,1,1,5,0,4,11,2,4,1,1,314,Deadeye Gaming,0,3,,,,,,,
iM xSnypE,Player,B,18,0,0,0,0,1,2,7,9,4,6,0,0,314,Deadeye Gaming,0,3,,,,,,,
xsluggz,Player,B-,2,6,0,1,0,1,1,1,2,0,1,0,0,314,Deadeye Gaming,0,3,,,,,,,
Boardman lBl,Player,A-,17,10,4,1,0,4,2,8,12,1,3,0,0,314,Deadeye Gaming,0,3,,,,,,,
TOTAL,Team,B+,85,17,18,4,1,10,12,32,49,14,24,7,7,314,Deadeye Gaming,0,3,,,,,,,
Trifecta,Player,A,16,0,9,1,0,0,0,6,13,3,7,1,1,314,Krashout,1,3,,,,,,,
IIVeno,Player,A,31,1,6,2,0,2,2,12,19,5,8,2,2,314,Krashout,1,3,,,,,,,
Glohawn,Player,A-,19,0,0,4,0,2,0,7,9,5,6,0,0,314,Krashout,1,3,,,,,,,
Fr Fella,Player,C+,12,2,1,3,0,5,2,5,5,2,2,0,0,314,Krashout,1,3,,,,,,,
II WHEEL II,Player,A-,15,12,7,0,0,2,2,7,9,1,1,0,0,314,Krashout,1,3,,,,,,,
TOTAL,Team,B+,93,15,23,10,0,11,6,37,55,16,24,3,3,314,Krashout,1,3,,,,,,,
Trifecta,Player,B,15,0,10,1,1,3,7,5,8,4,7,1,1,315,Krashout,1,3,,,,,,,
IIVeno,Player,A,27,1,6,2,0,0,1,11,16,5,7,0,0,315,Krashout,1,3,,,,,,,
Glohawn,Player,B+,13,0,2,3,0,3,0,5,6,3,4,0,0,315,Krashout,1,3,,,,,,,
Fr Fella,Player,A,21,1,4,4,0,1,0,6,8,4,5,5,5,315,Krashout,1,3,,,,,,,
II WHEEL II,Player,A-,16,10,4,0,1,1,3,6,6,2,2,2,2,315,Krashout,1,3,,,,,,,
TOTAL,Team,A-,92,12,26,10,2,8,11,33,44,18,25,8,8,315,Krashout,1,3,,,,,,,
Sinnerz ll,Player,A,28,0,7,1,0,2,4,9,14,6,9,4,4,315,Nightmare City,0,3,,,,,,,
4KJayW,Player,A-,18,0,6,2,0,1,2,8,12,2,5,0,0,315,Nightmare City,0,3,,,,,,,
xxmoneycashxx,Player,B+,19,0,0,0,0,3,0,8,10,3,4,0,0,315,Nightmare City,0,3,,,,,,,
CatchingBlessing,Player,B-,3,3,2,4,0,4,2,1,2,1,2,0,0,315,Nightmare City,0,3,,,,,,,
islandDevil,Player,B+,8,7,6,0,0,1,4,3,5,0,0,2,2,315,Nightmare City,0,3,,,,,,,
TOTAL,Team,B+,76,10,21,7,0,10,12,29,43,12,20,6,6,315,Nightmare City,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Bad Energy,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Bad Energy,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Bad Energy,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Bad Energy,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Bad Energy,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Bad Energy,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Burn Notice,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Deadeye Gaming,1,3,,,,,,,
Deadeye Gaming,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Deadeye Gaming,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Deadeye Gaming,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Deadeye Gaming,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Deadeye Gaming,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Deadeye Gaming,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Full Court Pressure,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Full Court Pressure,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Heat Check,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Heat Check,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Unhinged,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Unhinged,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Unhinged,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Unhinged,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Unhinged,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Nightmare City,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Nightmare City,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Nightmare City,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Nightmare City,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Shiesty U,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Shiesty U,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Shiesty U,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,Shiesty U,1,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,URG,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,URG,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,URG,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,URG,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,W-R-U-C,0,3,,,,,,,
W-R-U-C,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,W-R-U-C,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,W-R-U-C,0,3,,,,,,,
Total,Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,W-R-U-C,1,3,,,,,,,
DirtyJøøøYT,Player,A,16,3,16,0,0,0,2,7,11,2,4,0,0,8001,New Vision,0,3,,,,,,,
llUzii,Player,A-,30,0,1,0,0,2,0,12,17,6,9,0,0,8001,New Vision,0,3,,,,,,,
IronH3arTD,Player,B-,5,0,0,1,0,2,1,2,3,1,2,0,0,8001,New Vision,0,3,,,,,,,
FrmAZ,Player,A-,24,1,1,2,0,1,0,8,11,8,10,0,0,8001,New Vision,0,3,,,,,,,
Brodie1thru5,Player,A-,14,11,7,1,0,2,2,6,11,0,0,2,2,8001,New Vision,0,3,,,,,,,
TOTAL,Team,B+,89,15,25,4,0,7,5,35,53,17,25,2,2,8001,New Vision,0,3,,,,,,,
Sinnerz ll,Player,A,27,0,12,1,0,0,3,10,20,7,14,0,0,8001,Nightmare City,1,3,,,,,,,
4KJayW,Player,A,28,0,6,0,1,3,0,11,16,6,8,0,0,8001,Nightmare City,1,3,,,,,,,
xxmoneycashxx,Player,B-,6,0,1,3,0,2,0,2,3,0,0,2,2,8001,Nightmare City,1,3,,,,,,,
CatchingBlessing,Player,B+,10,5,5,1,1,0,0,4,4,2,2,0,0,8001,Nightmare City,1,3,,,,,,,
islandDevil,Player,A-,23,12,3,0,0,2,1,11,11,1,1,0,0,8001,Nightmare City,1,3,,,,,,,
TOTAL,Team,A-,94,17,27,5,2,7,4,38,54,16,25,2,2,8001,Nightmare City,1,3,,,,,,,
LogoLarry,Player,B+,9,1,9,0,0,2,3,4,10,1,4,0,0,8002,Deadeye Gaming,1,3,,,,,,,
Im Vxnom,Player,A,23,0,6,3,0,2,0,9,11,5,6,0,0,8002,Deadeye Gaming,1,3,,,,,,,
iM xSnypE,Player,C+,4,2,1,0,2,1,0,2,3,0,0,0,0,8002,Deadeye Gaming,1,3,,,,,,,
xsluggz,Player,B-,11,4,0,1,1,1,1,5,6,1,2,0,0,8002,Deadeye Gaming,1,3,,,,,,,
Boardman lBl,Player,A,25,8,9,0,0,1,1,12,13,0,0,1,1,8002,Deadeye Gaming,1,3,,,,,,,
TOTAL,Team,B+,72,15,25,4,3,7,5,32,43,7,12,1,1,8002,Deadeye Gaming,1,3,,,,,,,
Trifecta,Player,A,23,1,9,2,0,2,3,8,14,7,10,0,0,8002,Krashout,0,3,,,,,,,
IIVeno,Player,A-,17,1,3,0,0,0,1,7,13,3,9,0,0,8002,Krashout,0,3,,,,,,,
Glohawn,Player,C+,12,0,1,1,0,5,0,5,6,2,3,0,0,8002,Krashout,0,3,,,,,,,
Fr Fella,Player,B,6,1,3,1,0,0,0,2,2,2,2,0,0,8002,Krashout,0,3,,,,,,,
II WHEEL II,Player,A-,13,5,5,0,0,2,0,6,8,1,1,0,0,8002,Krashout,0,3,,,,,,,
TOTAL,Team,B+,71,8,21,4,0,9,4,28,43,15,25,0,0,8002,Krashout,0,3,,,,,,,
LogoLarry,Player,A,42,1,7,0,0,1,3,15,17,11,12,1,1,8003,Deadeye Gaming,1,3,,,,,,,
Im Vxnom,Player,B+,13,0,4,5,0,3,0,5,10,3,7,0,0,8003,Deadeye Gaming,1,3,,,,,,,
iM xSnypE,Player,A-,18,5,3,2,0,3,0,7,8,4,4,0,0,8003,Deadeye Gaming,1,3,,,,,,,
xsluggz,Player,C+,0,2,1,0,0,0,2,0,3,0,2,0,0,8003,Deadeye Gaming,1,3,,,,,,,
Boardman lBl,Player,B+,15,4,1,2,0,0,1,7,9,0,1,1,1,8003,Deadeye Gaming,1,3,,,,,,,
TOTAL,Team,B+,88,12,16,9,0,7,6,34,47,18,26,2,2,8003,Deadeye Gaming,1,3,,,,,,,
Trifecta,Player,A,26,0,11,0,0,2,3,8,13,7,11,3,3,8003,Krashout,0,3,,,,,,,
IIVeno,Player,A-,19,0,3,0,0,1,2,7,11,5,8,0,0,8003,Krashout,0,3,,,,,,,
Glohawn,Player,B,17,0,0,3,0,1,0,6,6,5,5,0,0,8003,Krashout,0,3,,,,,,,
Fr Fella,Player,B-,6,1,2,2,1,2,1,2,2,2,2,0,0,8003,Krashout,0,3,,,,,,,
II WHEEL II,Player,A-,15,7,7,0,1,0,3,6,7,1,1,2,3,8003,Krashout,0,3,,,,,,,
TOTAL,Team,B+,83,8,23,5,2,6,9,29,39,20,27,5,6,8003,Krashout,0,3,,,,,,,
LogoLarry,Player,A-,37,0,8,0,0,0,6,12,15,7,10,6,6,8004,Deadeye Gaming,0,3,,,,,,,
Im Vxnom,Player,B+,11,1,6,1,1,5,0,4,11,2,4,1,1,8004,Deadeye Gaming,0,3,,,,,,,
iM xSnypE,Player,B,18,0,0,0,0,1,2,7,9,4,6,0,0,8004,Deadeye Gaming,0,3,,,,,,,
xsluggz,Player,B-,2,6,0,1,0,1,1,1,2,0,1,0,0,8004,Deadeye Gaming,0,3,,,,,,,
Boardman lBl,Player,A-,17,10,4,1,0,4,2,8,12,1,3,0,0,8004,Deadeye Gaming,0,3,,,,,,,
TOTAL,Team,B+,85,17,18,4,1,10,12,32,49,14,24,7,7,8004,Deadeye Gaming,0,3,,,,,,,
Trifecta,Player,A,16,0,9,1,0,0,0,6,13,3,7,1,1,8004,Krashout,1,3,,,,,,,
IIVeno,Player,A,31,1,6,2,0,2,2,12,19,5,8,2,2,8004,Krashout,1,3,,,,,,,
Glohawn,Player,A-,19,0,0,4,0,2,0,7,9,5,6,0,0,8004,Krashout,1,3,,,,,,,
Fr Fella,Player,C+,12,2,1,3,0,5,2,5,5,2,2,0,0,8004,Krashout,1,3,,,,,,,
II WHEEL II,Player,A-,15,12,7,0,0,2,2,7,9,1,1,0,0,8004,Krashout,1,3,,,,,,,
TOTAL,Team,B+,93,15,23,10,0,11,6,37,55,16,24,3,3,8004,Krashout,1,3,,,,,,,
DirtyJøøøYT,Player,A,18,1,10,0,0,0,4,7,13,4,8,0,0,8005,New Vision,0,3,,,,,,,
llUzii,Player,A-,23,0,2,1,0,1,0,8,12,4,8,3,3,8005,New Vision,0,3,,,,,,,
IronH3arTD,Player,B+,14,0,1,0,0,3,0,5,6,4,5,0,0,8005,New Vision,0,3,,,,,,,
FrmAZ,Player,B,3,4,0,0,0,0,1,1,6,1,5,0,0,8005,New Vision,0,3,,,,,,,
Brodie1thru5,Player,B,8,15,4,2,2,0,4,3,4,0,1,2,2,8005,New Vision,0,3,,,,,,,
TOTAL,Team,B+,66,20,17,3,2,4,9,24,41,13,27,5,5,8005,New Vision,0,3,,,,,,,
Sinnerz ll,Player,A,29,0,8,2,0,1,2,10,19,8,15,1,1,8005,Nightmare City,1,3,,,,,,,
4KJayW,Player,A-,22,0,2,2,0,4,1,8,10,6,7,0,0,8005,Nightmare City,1,3,,,,,,,
xxmoneycashxx,Player,B+,8,0,2,2,0,0,0,3,4,2,2,0,0,8005,Nightmare City,1,3,,,,,,,
CatchingBlessing,Player,B-,0,2,0,1,0,0,0,0,3,0,2,0,0,8005,Nightmare City,1,3,,,,,,,
islandDevil,Player,B+,11,7,2,0,0,2,2,5,6,1,1,0,0,8005,Nightmare City,1,3,,,,,,,
TOTAL,Team,B+,70,9,14,7,0,7,6,26,42,17,27,1,1,8005,Nightmare City,1,3,,,,,,,
LogoLarry,Player,A-,14,0,8,0,0,2,1,5,6,4,5,0,0,8006,Deadeye Gaming,1,3,,,,,,,
Im Vxnom,Player,A,32,0,5,1,0,2,2,12,18,8,14,0,0,8006,Deadeye Gaming,1,3,,,,,,,
iM xSnypE,Player,A-,14,6,2,2,0,1,0,5,7,4,5,0,0,8006,Deadeye Gaming,1,3,,,,,,,
xsluggz,Player,C+,7,2,0,0,0,1,2,3,3,1,1,0,0,8006,Deadeye Gaming,1,3,,,,,,,
Boardman lBl,Player,A-,12,4,4,1,1,2,0,5,11,0,1,2,2,8006,Deadeye Gaming,1,3,,,,,,,
TOTAL,Team,B+,79,12,19,4,1,8,5,30,45,17,26,2,2,8006,Deadeye Gaming,1,3,,,,,,,
Sinnerz ll,Player,A,37,1,5,0,0,1,3,14,19,7,9,2,2,8006,Nightmare City,0,3,,,,,,,
4KJayW,Player,A,32,0,3,2,0,0,1,13,17,6,9,0,0,8006,Nightmare City,0,3,,,,,,,
xxmoneycashxx,Player,B,2,1,0,1,0,0,0,1,1,0,0,0,0,8006,Nightmare City,0,3,,,,,,,
CatchingBlessing,Player,B-,0,4,6,0,0,1,1,0,3,0,2,0,0,8006,Nightmare City,0,3,,,,,,,
islandDevil,Player,A-,6,7,6,1,1,0,2,3,3,0,0,0,0,8006,Nightmare City,0,3,,,,,,,
TOTAL,Team,B+,77,13,20,4,1,2,7,31,43,13,20,2,2,8006,Nightmare City,0,3,,,,,,,
LogoLarry,Player,A,24,0,11,1,0,2,3,9,11,6,8,0,0,8007,Deadeye Gaming,1,3,,,,,,,
Im Vxnom,Player,A,24,0,4,1,0,1,0,9,13,6,9,0,0,8007,Deadeye Gaming,1,3,,,,,,,
iM xSnypE,Player,B,6,3,3,1,1,2,0,2,6,2,3,0,0,8007,Deadeye Gaming,1,3,,,,,,,
xsluggz,Player,B-,6,6,2,2,0,1,0,2,3,2,2,0,0,8007,Deadeye Gaming,1,3,,,,,,,
Boardman lBl,Player,B+,19,6,3,0,0,3,2,9,11,1,1,0,0,8007,Deadeye Gaming,1,3,,,,,,,
TOTAL,Team,B+,79,15,23,5,2,9,5,31,44,17,23,0,0,8007,Deadeye Gaming,1,3,,,,,,,
Sinnerz ll,Player,A,21,0,10,1,0,0,4,8,14,3,7,2,2,8007,Nightmare City,0,3,,,,,,,
4KJayW,Player,A,39,0,1,0,0,5,0,13,17,10,13,3,3,8007,Nightmare City,0,3,,,,,,,
xxmoneycashxx,Player,C+,6,0,1,0,0,1,1,3,6,0,1,0,0,8007,Nightmare City,0,3,,,,,,,
CatchingBlessing,Player,B,2,3,3,2,2,0,0,1,2,0,0,0,0,8007,Nightmare City,0,3,,,,,,,
islandDevil,Player,B,4,9,2,0,0,1,0,2,3,0,1,0,0,8007,Nightmare City,0,3,,,,,,,
TOTAL,Team,B+,72,12,17,3,2,7,5,27,42,13,22,5,5,8007,Nightmare City,0,3,,,,,,,
LogoLarry,Player,B,21,0,7,1,0,1,5,8,13,5,10,0,0,8008,Deadeye Gaming,0,3,,,,,,,
Im Vxnom,Player,B+,21,0,2,1,0,4,1,8,13,5,10,0,0,8008,Deadeye Gaming,0,3,,,,,,,
iM xSnypE,Player,B+,13,11,2,0,0,2,0,6,8,1,3,0,0,8008,Deadeye Gaming,0,3,,,,,,,
xsluggz,Player,B-,5,2,1,0,0,1,1,2,3,1,1,0,0,8008,Deadeye Gaming,0,3,,,,,,,
Boardman lBl,Player,B+,13,2,2,1,1,1,1,5,7,0,1,3,3,8008,Deadeye Gaming,0,3,,,,,,,
TOTAL,Team,B,73,15,14,3,1,9,8,29,44,12,25,3,3,8008,Deadeye Gaming,0,3,,,,,,,
Sinnerz ll,Player,A+,38,0,10,0,0,1,1,13,17,8,10,4,4,8008,Nightmare City,1,3,,,,,,,
4KJayW,Player,A-,9,0,5,1,0,1,0,4,6,1,2,0,0,8008,Nightmare City,1,3,,,,,,,
xxmoneycashxx,Player,A,28,0,1,5,0,2,0,11,12,6,7,0,0,8008,Nightmare City,1,3,,,,,,,
CatchingBlessing,Player,C+,2,1,1,2,0,0,1,1,4,0,3,0,0,8008,Nightmare City,1,3,,,,,,,
islandDevil,Player,B,6,9,4,0,0,1,1,2,4,1,1,1,3,8008,Nightmare City,1,3,,,,,,,
TOTAL,Team,B+,83,10,21,8,0,5,3,31,43,16,23,5,7,8008,Nightmare City,1,3,,,,,,,
SGTDrtyHarry,Player,A,24,0,9,4,0,1,2,8,13,8,13,0,0,9301,Burn Notice,1,3,,,,,,,
BigfootXman,Player,A,33,0,8,1,0,3,0,12,17,9,12,0,0,9301,Burn Notice,1,3,,,,,,,
og2kgrim,Player,B,8,2,2,1,0,1,0,4,6,0,1,0,0,9301,Burn Notice,1,3,,,,,,,
x I Kno Buckeye,Player,B+,11,4,3,0,1,0,0,5,8,1,3,0,0,9301,Burn Notice,1,3,,,,,,,
Duby Duby Do,Player,A-,12,13,5,1,1,0,3,6,7,0,0,0,0,9301,Burn Notice,1,3,,,,,,,
TOTAL,Team,A-,88,19,27,7,2,5,5,35,51,18,29,0,0,9301,Burn Notice,1,3,,,,,,,
llMarrll,Player,A,27,0,10,0,0,0,2,10,16,7,12,0,0,9301,Shiesty U,0,3,,,,,,,
XxNewJackNinoxX,Player,B+,21,1,2,0,0,0,3,8,13,5,8,0,0,9301,Shiesty U,0,3,,,,,,,
BluHawk92,Player,B-,9,0,0,5,0,4,1,3,3,2,2,1,1,9301,Shiesty U,0,3,,,,,,,
RipXChucky,Player,B,12,4,2,0,1,0,1,4,4,4,4,0,0,9301,Shiesty U,0,3,,,,,,,
ISO864xRAW,Player,A-,10,5,5,0,0,0,1,4,6,2,2,0,0,9301,Shiesty U,0,3,,,,,,,
TOTAL,Team,B+,79,10,19,5,1,4,8,29,42,20,28,1,1,9301,Shiesty U,0,3,,,,,,,
Clutch Krabs,Player,A-,11,0,5,0,0,0,1,4,10,2,5,1,1,9302,Full Court Pressure,0,3,,,,,,,
Premium Griz,Player,A-,20,2,5,2,0,2,1,8,11,4,6,0,0,9302,Full Court Pressure,0,3,,,,,,,
HeEverywhere,Player,C+,5,1,2,3,0,3,0,2,6,1,2,0,0,9302,Full Court Pressure,0,3,,,,,,,
