Player/Team,Type,GRD,PTS,REB,AST,STL,BLK,FOULS,TO,FGM,FGA,3PM,3PA,FTM,FTA,Game_ID,Team Name,Win,Season,OREB,DREB,MIN,Q1,Q2,Q3,Q4
TXxGreATNeSS,player,B+,10,1,0,1,0,1,1,4,6,0,2,2,2,105,All Inclusive,,1,,,,,,,
Duckysteak123,player,A,12,12,5,0,3,0,0,6,9,0,0,0,0,105,All Inclusive,,1,,,,,,,
TOTAL,total,B+,78,17,21,3,4,5,3,32,48,12,19,2,2,105,All Inclusive,,1,,,,,,,
OIAMERSAVAGE,player,C,6,0,7,0,0,2,0,3,6,0,3,0,0,105,One In A Million,,1,,,,,,,
WhiteWolfBB,player,B-,8,0,3,2,1,1,0,3,5,2,4,0,0,105,One In A Million,,1,,,,,,,
OIAMTHEGREAT,player,B+,19,0,0,0,0,0,0,8,14,3,8,0,0,105,One In A Million,,1,,,,,,,
WhitePong,player,C+,0,4,3,0,1,3,1,0,1,0,1,0,0,105,One In A Million,,1,,,,,,,
OIAMSITCH,player,A,31,10,9,0,1,0,2,15,21,0,1,1,2,105,One In A Million,,1,,,,,,,
TOTAL,total,B,64,14,22,2,3,6,4,29,47,5,17,1,2,105,One In A Million,,1,,,,,,,
JevonWV,Player,A,7,0,9,2,0,0,1,1,3,1,3,4,4,106,Beat The Odds,1,1,,,,,,,
Ice Near,Player,B+,11,0,3,0,0,2,1,4,4,3,3,0,0,106,Beat The Odds,1,1,,,,,,,
Crunch tuff,Player,B,10,0,0,0,0,0,0,4,5,2,2,0,0,106,Beat The Odds,1,1,,,,,,,
Sensei_Kevvv,Player,B-,5,1,0,0,0,0,0,2,2,1,1,0,1,106,Beat The Odds,1,1,,,,,,,
Paint-Defender,Player,B+,10,6,2,1,0,2,1,5,5,0,0,0,0,106,Beat The Odds,1,1,,,,,,,
TOTAL,Total,B+,43,7,14,3,0,4,3,16,19,7,9,4,5,106,Beat The Odds,1,1,,,,,,,
lLearn Pain,Player,B+,3,0,7,0,0,0,2,1,5,1,5,0,0,106,Kintsugi Gaming,0,1,,,,,,,
xxvBunk,Player,B-,9,0,2,0,0,3,0,4,6,1,3,0,0,106,Kintsugi Gaming,0,1,,,,,,,
Goatsnelson23,Player,C+,6,0,1,1,0,3,0,3,4,0,1,0,0,106,Kintsugi Gaming,0,1,,,,,,,
IRangeiana,Player,B-,7,0,1,2,0,1,0,3,4,1,1,0,0,106,Kintsugi Gaming,0,1,,,,,,,
RSM Hendrix,Player,B-,5,5,1,0,0,1,2,2,2,1,1,0,0,106,Kintsugi Gaming,0,1,,,,,,,
TOTAL,Total,B-,30,5,12,3,0,7,4,13,21,4,11,0,0,106,Kintsugi Gaming,0,1,,,,,,,
ClipsNYCTTV,Player,A,30,0,9,0,0,1,1,11,14,7,8,1,1,107,Bucketboys,0,1,,,,,,,
IZENDOR,Player,D+,24,0,2,0,0,1,6,9,15,6,10,0,0,107,Bucketboys,0,1,,,,,,,
IIAvonBarksdale,Player,C-,3,0,1,0,0,1,0,1,3,1,1,0,0,107,Bucketboys,0,1,,,,,,,
LeefUP,Player,C-,3,2,3,0,0,2,3,1,4,1,3,0,0,107,Bucketboys,0,1,,,,,,,
xFRE3SM0KEx,Player,B,11,11,3,0,0,0,2,5,5,0,0,1,2,107,Bucketboys,0,1,,,,,,,
TOTAL,Total,C+,71,13,18,0,0,5,12,27,41,15,22,2,3,107,Bucketboys,0,1,,,,,,,
llTrifecta,Player,A+,36,1,14,1,1,0,0,12,16,10,14,2,2,107,Krashout,1,1,,,,,,,
IllFadex,Player,A,36,0,1,4,0,0,0,14,18,8,11,0,0,107,Krashout,1,1,,,,,,,
Clxmp4k,Player,B-,5,0,1,3,0,1,0,2,6,1,4,0,0,107,Krashout,1,1,,,,,,,
Fr Fella,Player,A-,17,3,0,3,1,2,1,6,7,5,6,0,0,107,Krashout,1,1,,,,,,,
Ill II WHEEL II,Player,A-,8,11,7,1,0,1,0,4,5,0,0,0,0,107,Krashout,1,1,,,,,,,
TOTAL,Total,A-,102,15,23,12,2,4,1,38,52,24,35,2,2,107,Krashout,1,1,,,,,,,
TOTAL,Team Total,B,77,14,22,4,0,4,9,30,48,15,25,2,2,108,Bucketboys,,1,,,,,,,
ClipsNYCTTV,,B-,12,1,10,1,0,0,4,5,12,2,5,0,0,108,Bucketboys,,1,,,,,,,
IZENDIOR,,A-,27,0,5,1,0,1,1,9,16,7,12,2,2,108,Bucketboys,,1,,,,,,,
IIAvonBarksdale,,B-,19,1,2,1,0,2,2,7,8,5,6,0,0,108,Bucketboys,,1,,,,,,,
LeefUP,,C+,5,0,0,0,0,1,0,2,3,1,2,0,0,108,Bucketboys,,1,,,,,,,
xFRE3SM0KEx,,A-,14,12,5,1,0,0,1,7,9,0,0,0,0,108,Bucketboys,,1,,,,,,,
TOTAL,Team Total,A-,102,15,24,7,1,6,4,39,50,22,32,2,2,108,Krashout,,1,,,,,,,
IITrifecta,,A+,36,0,6,0,0,0,0,13,21,10,17,0,0,108,Krashout,,1,,,,,,,
IIIFadex,,A+,41,0,4,1,0,2,1,15,16,9,10,2,2,108,Krashout,,1,,,,,,,
Clxmp4k,,B-,8,0,2,2,0,2,0,3,3,2,2,0,0,108,Krashout,,1,,,,,,,
Fr Fella,,B-,5,3,2,1,1,0,2,2,4,1,3,0,0,108,Krashout,,1,,,,,,,
II WHEEL II,,A,12,12,10,3,0,2,0,6,6,0,0,0,0,108,Krashout,,1,,,,,,,
NTNF_Gaming*,Player,B-,6,0,4,1,0,2,2,3,6,0,1,0,0,109,Unhinged,0,1,,,,,,,
MIKEBESELLIN*,Player,C+,10,1,2,0,0,0,5,4,7,2,3,0,0,109,Unhinged,0,1,,,,,,,
Domo2-6*,Player,B,17,0,1,3,3,1,1,6,15,5,13,0,0,109,Unhinged,0,1,,,,,,,
Yawnboyjr,Player,C+,2,3,1,0,0,3,3,1,5,0,3,0,0,109,Unhinged,0,1,,,,,,,
Goated_1997,Player,B,8,5,2,0,0,0,0,3,10,2,3,0,0,109,Unhinged,0,1,,,,,,,
NLWarriors,Team,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,Unhinged,0,1,,,,,,,
TOTAL,Total,B-,43,9,12,5,3,4,12,17,43,9,23,0,0,109,Unhinged,0,1,,,,,,,
EdiblePancakez,Player,A+,36,0,13,1,0,0,1,12,14,10,12,2,2,109,SmokinYallAhhz,1,1,,,,,,,
iMailEm,Player,A,29,0,2,2,1,0,0,11,15,7,10,0,0,109,SmokinYallAhhz,1,1,,,,,,,
ZoroSWFlamez,Player,B+,13,2,1,4,0,2,1,5,9,3,4,0,0,109,SmokinYallAhhz,1,1,,,,,,,
e-ZiA,Player,A-,6,10,6,1,1,0,3,2,5,2,5,0,0,109,SmokinYallAhhz,1,1,,,,,,,
ennywavilsaehs23,Player,A,14,14,5,2,2,1,2,7,7,0,0,0,0,109,SmokinYallAhhz,1,1,,,,,,,
SmokinYallAhhz,Team,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,SmokinYallAhhz,1,1,,,,,,,
TOTAL,Total,A,98,26,27,10,4,3,7,37,50,22,31,2,2,109,SmokinYallAhhz,1,1,,,,,,,
TOTAL,TOTAL,A-,90,25,23,6,1,6,2,36,53,18,28,0,0,110,All Inclusive,,1,,,,,,,
FadedMacBH4L,Xbox,A,32,0,8,0,0,0,0,12,18,8,14,0,0,110,All Inclusive,,1,,,,,,,
Void hoops,Xbox,A,32,0,4,2,0,1,0,12,17,8,11,0,0,110,All Inclusive,,1,,,,,,,
Duckysteak123,Xbox,A-,6,0,4,0,2,0,0,2,4,2,3,0,0,110,All Inclusive,,1,,,,,,,
jalen19yktv,Xbox,A-,12,5,2,0,0,1,0,6,8,0,0,0,0,110,All Inclusive,,1,,,,,,,
OVL BLVCK,Xbox,A-,8,20,5,0,1,2,1,4,6,0,0,0,0,110,All Inclusive,,1,,,,,,,
TOTAL,TOTAL,B,60,11,16,1,1,4,6,21,43,13,24,5,7,110,Shiesty U,,1,,,,,,,
ISO864xRAW,Xbox,B-,16,0,12,0,0,1,4,5,13,3,7,3,4,110,Shiesty U,,1,,,,,,,
Abu Fizzy,Xbox,A-,27,1,1,0,0,2,0,10,17,7,10,0,0,110,Shiesty U,,1,,,,,,,
YoGreedy-,Xbox,C+,5,0,1,0,0,0,0,2,3,1,2,0,0,110,Shiesty U,,1,,,,,,,
Itz-ToX1c-PR,Xbox,C+,4,4,0,1,0,1,2,1,4,0,3,2,3,110,Shiesty U,,1,,,,,,,
BigRedDMD,Xbox,B+,8,6,2,0,1,0,0,3,6,2,2,0,0,110,Shiesty U,,1,,,,,,,
LLearn Pain,Player,A-,23,0,12,4,0,1,4,8,18,5,11,2,2,111,Kintsugi Gaming,1,1,,,,,,,
OverlyPopped,Player,A,44,0,3,3,0,4,1,15,21,14,19,0,0,111,Kintsugi Gaming,1,1,,,,,,,
liDevon_,Player,B+,13,1,0,0,0,0,0,6,10,1,2,0,0,111,Kintsugi Gaming,1,1,,,,,,,
Hoesay-14,Player,B+,6,2,3,2,1,0,0,2,3,2,3,0,0,111,Kintsugi Gaming,1,1,,,,,,,
RSM Hendrix,Player,A+,20,22,12,1,1,1,1,9,11,2,2,0,0,111,Kintsugi Gaming,1,1,,,,,,,
TOTAL,Total,A-,106,25,30,13,2,6,6,40,63,24,37,2,2,111,Kintsugi Gaming,1,1,,,,,,,
Yoo Shootah,Player,A-,10,0,8,1,0,1,1,4,7,2,4,0,0,111,Myers Parkss,0,1,,,,,,,
NecroSaucyxX,Player,B,15,1,5,2,0,2,4,7,9,1,1,0,0,111,Myers Parkss,0,1,,,,,,,
ColemanX2AJ,Player,B,11,0,3,1,0,0,3,4,7,3,5,0,0,111,Myers Parkss,0,1,,,,,,,
LethalMamba421,Player,A-,17,8,7,1,0,0,0,7,16,1,3,2,2,111,Myers Parkss,0,1,,,,,,,
Invicibility0N_,Player,B,15,6,3,0,1,0,3,7,8,1,2,0,0,111,Myers Parkss,0,1,,,,,,,
TOTAL,Total,B+,68,15,26,5,1,3,14,29,47,8,15,2,2,111,Myers Parkss,0,1,,,,,,,
Sinnerz ll,player,A+,41,0,14,3,0,1,1,12,17,12,17,5,5,112,THE COALITION,,1,,,,,,,
YHWH zx,player,A,35,1,2,0,0,0,0,13,17,9,13,0,0,112,THE COALITION,,1,,,,,,,
DonJuiloTv,player,A-,23,1,3,0,0,2,0,9,11,5,6,0,0,112,THE COALITION,,1,,,,,,,
Tzuld,player,B,6,7,2,2,0,2,1,2,4,2,4,0,0,112,THE COALITION,,1,,,,,,,
Hillfromdalou,player,A-,8,15,4,1,1,1,0,4,6,0,0,0,0,112,THE COALITION,,1,,,,,,,
TOTAL,total,A-,113,24,23,9,1,6,2,40,55,28,40,5,5,112,THE COALITION,,1,,,,,,,
ZoroSWFlamez,player,C+,7,0,3,1,0,5,3,2,4,0,0,3,4,112,Zoro of the Dragonx,,1,,,,,,,
Big_3-Clutch,player,A-,19,1,1,0,0,0,1,7,10,5,6,0,0,112,Zoro of the Dragonx,,1,,,,,,,
bruhimsellin15,player,B-,14,4,3,1,0,3,3,5,10,4,6,0,0,112,Zoro of the Dragonx,,1,,,,,,,
PrinceDragon13,player,B+,17,2,3,0,0,0,2,7,15,3,11,0,0,112,Zoro of the Dragonx,,1,,,,,,,
xLiLMILL3Rx21,player,B+,2,6,9,0,1,1,1,1,4,0,2,0,0,112,Zoro of the Dragonx,,1,,,,,,,
TOTAL,total,B,59,13,19,2,1,8,11,22,43,12,25,3,4,112,Zoro of the Dragonx,,1,,,,,,,
FadedMacBH4L,Player,B,16,0,14,0,0,0,7,6,11,4,8,0,0,113,All Inclusive,1,1,,,,,,,
Void hoops,Player,B+,12,0,4,1,0,0,0,4,4,4,4,0,0,113,All Inclusive,1,1,,,,,,,
OVL BLVCK,Player,A-,14,3,0,1,0,1,0,6,8,2,4,0,0,113,All Inclusive,1,1,,,,,,,
TXxGreaTNeSS,Player,A-,20,0,1,3,0,0,0,8,12,4,6,0,0,113,All Inclusive,1,1,,,,,,,
Duckysteak123,Player,B+,8,14,4,0,1,1,2,4,6,0,1,0,0,113,All Inclusive,1,1,,,,,,,
TOTAL,Total,B+,70,17,23,5,1,1,9,28,41,14,23,0,0,113,All Inclusive,1,1,,,,,,,
HitmanKeedy,Player,A,22,1,11,2,0,1,2,7,16,7,16,1,1,113,Not Average Hoops,0,1,,,,,,,
SkrapGoKrazy_,Player,B+,11,1,4,4,0,1,1,5,13,1,9,0,0,113,Not Average Hoops,0,1,,,,,,,
Gxldnn,Player,B,10,0,1,1,0,1,0,5,8,0,1,0,0,113,Not Average Hoops,0,1,,,,,,,
HitmanLavine,Player,B,8,5,0,0,0,0,3,3,3,2,2,0,0,113,Not Average Hoops,0,1,,,,,,,
JoeeSwavey,Player,A-,14,11,2,0,0,0,0,7,10,0,2,0,0,113,Not Average Hoops,0,1,,,,,,,
TOTAL,Total,B+,65,18,23,7,0,3,6,27,50,10,30,1,1,113,Not Average Hoops,0,1,,,,,,,
Sinnerz ll,Player,A+,39,0,5,1,0,0,2,13,16,9,12,4,4,114,THE COALITION,1,1,,,,,,,
YHWH zx,Player,A-,22,0,3,2,0,2,1,8,11,6,8,0,0,114,THE COALITION,1,1,,,,,,,
4KJayW,Player,A-,29,3,0,3,0,0,0,10,14,7,10,2,2,114,THE COALITION,1,1,,,,,,,
DonJulioTv,Player,B+,12,4,2,3,3,0,0,4,9,4,9,0,0,114,THE COALITION,1,1,,,,,,,
MJ EXiSTS,Player,B+,9,14,6,0,0,0,2,3,7,1,2,2,2,114,THE COALITION,1,1,,,,,,,
TOTAL,Total,A-,111,21,16,9,3,2,6,38,57,27,41,8,8,114,THE COALITION,1,1,,,,,,,
QIAMSiTCH,Player,A-,18,1,13,0,0,0,3,9,16,0,0,0,0,114,One In A Million,0,1,,,,,,,
QIAMTHEGREAT,Player,A-,26,1,3,0,1,1,2,11,16,4,5,0,0,114,One In A Million,0,1,,,,,,,
QIAMSMOKI,Player,B-,15,1,1,2,0,4,0,6,9,3,4,0,0,114,One In A Million,0,1,,,,,,,
WhiteWolfBB,Player,B-,7,4,2,0,0,3,3,3,4,1,2,0,0,114,One In A Million,0,1,,,,,,,
QIAMTIMMAAY,Player,A-,19,5,6,2,2,3,2,7,10,5,5,0,0,114,One In A Million,0,1,,,,,,,
TOTAL,Total,B+,85,12,25,4,2,11,10,36,55,13,16,0,0,114,One In A Million,0,1,,,,,,,
JevonWV,,A-,11,0,9,2,0,0,2,4,13,3,8,0,0,115,Beat The Odds,,1,,,,,,,
Ice Near,,B,18,0,1,0,0,2,1,7,9,4,5,0,0,115,Beat The Odds,,1,,,,,,,
Crunch tuff,,B+,13,0,0,4,0,2,0,4,4,2,3,3,3,115,Beat The Odds,,1,,,,,,,
Sensei_Kevvv,,B-,8,1,0,1,0,0,0,3,5,2,3,0,0,115,Beat The Odds,,1,,,,,,,
Paint-Defender,,B-,10,10,4,1,0,4,3,5,6,0,0,0,0,115,Beat The Odds,,1,,,,,,,
TOTAL,,B,60,11,14,8,0,8,6,23,37,11,18,3,3,115,Beat The Odds,,1,,,,,,,
lLearn Pain,,A-,16,0,11,0,0,1,4,6,13,2,6,2,2,115,Kintsugi Gaming,,1,,,,,,,
xxvBunk,,A-,19,0,2,1,1,3,1,6,9,5,6,2,2,115,Kintsugi Gaming,,1,,,,,,,
Goatsnelson23,,B-,11,2,0,2,0,1,1,5,7,1,1,0,0,115,Kintsugi Gaming,,1,,,,,,,
iRangeiana,,C+,3,2,2,0,0,1,2,1,2,1,2,0,0,115,Kintsugi Gaming,,1,,,,,,,
RSM Hendrix,,A-,15,11,3,0,1,1,0,6,6,3,3,0,0,115,Kintsugi Gaming,,1,,,,,,,
TOTAL,,B+,64,15,18,3,1,7,8,24,37,12,18,4,4,115,Kintsugi Gaming,,1,,,,,,,
IZENDIOR,Player,A,26,2,11,1,0,1,2,10,21,6,16,0,0,116,Bucketboys,0,1,,,,,,,
ClipsNYCTTV,Player,A-,20,1,3,0,0,2,2,8,10,4,6,0,0,116,Bucketboys,0,1,,,,,,,
IIAvonBarksdale,Player,B-,6,0,0,2,0,2,0,2,4,2,4,0,0,116,Bucketboys,0,1,,,,,,,
LeefUP,Player,C,5,3,1,0,0,1,3,2,3,1,1,0,0,116,Bucketboys,0,1,,,,,,,
I Breezo I,Player,B+,13,11,3,0,1,2,1,6,7,1,1,0,0,116,Bucketboys,0,1,,,,,,,
TOTAL,Total,B+,70,17,18,3,1,7,8,28,45,14,28,0,0,116,Bucketboys,0,1,,,,,,,
HitmanKeedy,Player,A,17,0,12,0,0,1,2,5,9,5,8,2,2,116,Not Average Hoops,1,1,,,,,,,
NY GRABBA,Player,A,28,0,4,1,0,0,0,11,15,6,10,0,0,116,Not Average Hoops,1,1,,,,,,,
Gxldnn,Player,B,13,0,3,4,0,2,1,5,7,0,2,3,3,116,Not Average Hoops,1,1,,,,,,,
HitmanLevine,Player,A-,9,5,5,2,1,1,0,4,5,1,2,0,0,116,Not Average Hoops,1,1,,,,,,,
JoeeSwayvey,Player,B+,8,8,0,0,0,0,1,3,9,2,4,0,0,116,Not Average Hoops,1,1,,,,,,,
TOTAL,Total,A-,75,13,24,7,1,4,4,28,45,14,26,5,5,116,Not Average Hoops,1,1,,,,,,,
HitmanKeedy,player,A+,33,5,13,0,0,1,2,11,14,9,12,2,2,117,Not Average Hoops,,1,,,,,,,
NY GRABBA,player,B+,21,0,1,1,0,2,0,9,13,3,5,0,1,117,Not Average Hoops,,1,,,,,,,
